Baross Gábor;komp;1985;1;Balatoni Hajózási Zrt.;Siófok
Akali;személyhajó;1992;1;Balatoni Hajózási Zrt.;Siófok
101-Z toló-önjáró uszály;önjáró uszály;1992;1;Óriás-Line Kft.;Siófok
Almádi;személyhajó;1998;1;Balatoni Hajózási Zrt.;Siófok
Aqua Pannonia;személyhajó;2003;1;Balatoni Hajózási Zrt.;Siófok
Arács;személyhajó;1986;1;Balatoni Hajózási Zrt.;Siófok
Badacsony;személyhajó;1988;1;Balatoni Hajózási Zrt.;Siófok
Balaton;személyhajó;1994;1;3Hajózási Kft.;Balatonfüred
Calypso;kisgéphajó;1983;1;Balatoni Hajózási Zrt.;Siófok
Csiga-Biga;kisgéphajó;1987;1;Egyéni vállalkozó;Siófok
Csobánc;személyhajó;1983;1;Balatoni Hajózási Zrt.;Siófok
Csongor;személyhajó;1994;1;Balatoni Hajózási Zrt.;Siófok
Echo;szolgálati hajó;1989;1;Óriás-Line Kft.;Siófok
Ederics;személyhajó;2001;1;Balatoni Hajózási Zrt.;Siófok
Érd;szolgálati hajó;1992;1;Aqua-Sió Vízépítő Kft.;Siófok
Fonyód;személyhajó;2001;1;Balatoni Hajózási Zrt.;Siófok
Füred;személyhajó;1997;1;Balatoni Hajózási Zrt.;Siófok
Györök;személyhajó;2000;1;Balatoni Hajózási Zrt.;Siófok
Helka;személyhajó;1994;1;Balatoni Hajózási Zrt.;Siófok
Hévíz;személyhajó;1980;1;Balatoni Hajózási Zrt.;Siófok
Izsó;szolgálati hajó;1994;1;Óriás-Line Kft.;Siófok
Jégmadár;szolgálati hajó;2002;1;Óriás-Line Kft.;Siófok
Jókai;személyhajó;1988;1;3Hajózási Kft.;Balatonfüred
Kelén;személyhajó;2003;1;Balatoni Hajózási Zrt.;Siófok
Keszthely;személyhajó;1996;1;Balatoni Hajózási Zrt.;Siófok
Kisfaludy Sándor;komp;1996;1;Balatoni Hajózási Zrt.;Siófok
Klára;személyhajó;2005;1;3Hajózási Kft.;Balatonfüred
Kossuth Lajos;komp;2001;1;Balatoni Hajózási Zrt.;Siófok
Lelle;személyhajó;1990;1;Balatoni Hajózási Zrt.;Siófok
Scharnebeck;szolgálati hajó;2005;1;Vízirendőrség;Siófok
Révfülöp;személyhajó;2004;1;Balatoni Hajózási Zrt.;Siófok
Sió;szolgálati hajó;2002;1;Balatoni Hajózási Zrt.;Siófok
Siófok;személyhajó;1984;1;Balatoni Hajózási Zrt.;Siófok
St Benedek;személyhajó;1986;1;Egyéni vállalkozó;Siófok
Szántód;személyhajó;2004;1;Balatoni Hajózási Zrt.;Siófok
Széchenyi István;komp;1987;1;Balatoni Hajózási Zrt.;Siófok
Szent Miklós;személyhajó;1982;1;Balatoni Hajózási Zrt.;Siófok
Szikra;szolgálati hajó;2001;1;Közép-dunántúli Környezetvédelmi és Vízügyi Igazga;Siófok
Tátika;személyhajó;2005;1;Zánkai GyIC Közhasznú Kft.;Zánka
